customer_unique_key,customer_salary,customer_age_year,customer_pincode,customer_city
3207157596,23154.0,27,122505.0,Delhi
3114584060,88419.0,47,411048.0,Pune
3343473429,73334.0,37,500081.0,Hyderabad
2956923386,54173.0,35,411014.0,Pune
3211707503,43183.0,41,560100.0,Bengaluru
3186522561,55822.0,34,530016.0,Visakhapatnam
2733101467,67871.0,36,600037.0,Chennai
3049704097,78570.0,39,600125.0,Chennai
2524675797,81587.0,43,122002.0,Delhi
2768607070,36942.0,33,603103.0,Chennai
2922467826,36893.0,33,560098.0,Bengaluru
2727829658,28444.0,32,411014.0,Pune
2343651027,38292.0,40,560013.0,Bengaluru
2847280650,49690.0,32,160002.0,Chandigarh
2569272677,83301.0,39,560017.0,Bengaluru
2422000821,95078.0,38,560077.0,Bengaluru
2886339828,66136.0,35,122002.0,Delhi
2364497836,70261.0,33,560093.0,Bengaluru
2581373665,48683.0,39,122002.0,Delhi
2933780756,46641.0,35,560045.0,Bengaluru
2817817328,36512.0,29,400004.0,Mumbai
2600982796,58723.0,35,600098.0,Tambaram
3087294821,95385.0,38,380006.0,Ahmedabad
3044090636,125137.0,37,160002.0,Chandigarh
2629886041,178764.0,36,560093.0,Bengaluru
2628058324,66142.0,38,122002.0,Delhi
2950152981,24487.0,28,411057.0,Pune
2819474678,27601.0,33,122001.0,Delhi
2738994780,69071.0,32,380028.0,Ahmedabad
2425746314,52798.0,33,411038.0,Pune
2790067832,198096.0,41,110034.0,Delhi
3136666983,35226.0,40,122002.0,Delhi
3205750452,31556.0,29,700091.0,Kolkata
2667997705,25248.0,30,121002.0,Delhi
2617144458,34046.0,32,600002.0,Chennai
2957926650,199647.0,46,400013.0,Mumbai
2996912333,74093.0,30,560103.0,Bengaluru
2540469871,27425.0,27,570019.0,Mysore
2824612768,26800.0,27,110062.0,Delhi
2435091420,25629.0,26,560103.0,Bengaluru
2498073517,89623.0,39,560076.0,Bengaluru
2414581847,95692.0,41,500032.0,Hyderabad
2358457379,35078.0,31,401208.0,Mumbai
2467028817,46734.0,28,122003.0,Delhi
3165701501,32305.0,26,410210.0,Mumbai
3142227559,42446.0,37,560022.0,Bengaluru
3056567782,181613.0,32,400093.0,Mumbai
2895599819,33105.0,33,411014.0,Pune
3206342648,74630.0,31,411057.0,Pune
2506580231,70038.0,38,700016.0,Kolkata
3227005238,36134.0,28,560045.0,Bengaluru
2352901930,36473.0,29,122002.0,Delhi
2432252616,27454.0,24,560037.0,Bengaluru
2549828465,78273.0,29,122002.0,Delhi
3075341983,25500.0,23,400064.0,Mumbai
2796920314,24201.0,30,560103.0,Belgaum
2957658396,28623.0,50,753010.0,Cuttack City
3079613942,25882.0,32,600002.0,Chennai
3028096873,50750.0,32,517501.0,Vijayawada
2421569837,29743.0,34,411005.0,Pune
2550345446,49252.0,39,560045.0,Bengaluru
3154564240,34753.0,25,122002.0,Delhi
3181705901,36810.0,32,501503.0,Hyderabad
3199676021,36429.0,33,122002.0,Delhi
2941795058,30355.0,28,400706.0,Mumbai
2757167364,37595.0,41,520008.0,Vijayawada
2600694860,26600.0,41,500090.0,Hyderabad
3171411748,22753.0,29,560038.0,Bengaluru
2657150746,48474.0,34,500043.0,Hyderabad
2603137613,25208.0,27,302029.0,Jaipur
2874149763,51738.0,38,500034.0,Hyderabad
2693690212,20435.0,31,226010.0,Lucknow
2720238054,58566.0,36,560029.0,Bengaluru
3099992750,29951.0,30,412220.0,Pune
3117101559,62331.0,33,625016.0,Madurai
2402193650,36052.0,35,560045.0,Bengaluru
3085999193,46953.0,32,411057.0,Pune
2746451870,139050.0,44,560105.0,Bengaluru
3105790504,61583.0,36,400068.0,Mumbai
2778610795,26325.0,38,625001.0,Madurai
2627947350,51111.0,33,122002.0,Delhi
2559855591,34869.0,29,122003.0,Delhi
2397535144,33181.0,28,122001.0,Delhi
2520247440,32420.0,29,560097.0,Bengaluru
2862044229,38479.0,26,121002.0,Delhi
2560755074,49295.0,35,560103.0,Bengaluru
2860774208,27335.0,26,509301.0,Hyderabad
2840441697,33265.0,44,700095.0,Kolkata
2672576275,21718.0,28,395007.0,Surat
3169572420,35737.0,32,522004.0,Guntur
2793527631,41033.0,29,452001.0,Indore
2815307135,44442.0,32,560067.0,Bengaluru
2827172358,25922.0,30,500039.0,Hyderabad
2674229584,54235.0,34,400607.0,Mumbai
2345082342,46089.0,37,560045.0,Bengaluru
3222369085,60853.0,32,560029.0,Bengaluru
2547141571,78559.0,41,500081.0,Hyderabad
3004567636,28987.0,30,110052.0,Delhi
2407625645,73214.0,39,560045.0,Bengaluru
2894955936,109241.0,48,500073.0,Hyderabad
2735112386,28322.0,33,400028.0,Mumbai
2538998132,83737.0,46,122002.0,Delhi
2408865558,68079.0,33,110027.0,Delhi
2572172296,50870.0,32,560077.0,Bengaluru
3001193712,54834.0,38,560035.0,Bengaluru
2380971717,28083.0,39,600034.0,Chennai
3054043690,35137.0,34,641021.0,Coimbatore
2799855185,26843.0,35,600119.0,Chennai
2403945342,78830.0,31,500008.0,Hyderabad
2820478588,36489.0,34,560066.0,Bengaluru
2914536440,24443.0,27,560011.0,Bengaluru
3135014874,36435.0,30,560009.0,Bengaluru
3208041499,40492.0,24,400708.0,Mumbai
2438183431,48529.0,30,560048.0,Bengaluru
2868169081,70559.0,35,411002.0,Pune
3192753789,66351.0,35,411057.0,Pune
3206797824,36763.0,27,560103.0,Bengaluru
2863556969,72073.0,34,560025.0,Bengaluru
2922445764,28747.0,32,122002.0,Delhi
2708762081,56264.0,37,560071.0,Bengaluru
2942679938,27295.0,27,110037.0,Delhi
3481781243,38534.0,33,560103.0,Bengaluru
2694334573,23750.0,28,302029.0,Jaipur
3087529837,29902.0,32,575003.0,Mangalore
3092673839,83061.0,38,122002.0,Delhi
2810364118,57550.0,33,560016.0,Bengaluru
2999511764,106214.0,36,122002.0,Delhi
2700892291,118333.0,33,600039.0,Chennai
2376438087,37892.0,27,600058.0,Chennai
3152767742,44923.0,30,411041.0,Pune
2942003223,36896.0,31,600007.0,Chennai
3041287801,46256.0,35,560001.0,Bengaluru
2460579903,29195.0,28,500072.0,Hyderabad
3331650853,25921.0,24,400703.0,Mumbai
2778933267,61861.0,35,500003.0,Hyderabad
2853821869,176869.0,32,400054.0,Mumbai
2813012866,29419.0,27,560103.0,Bengaluru
2628478727,88171.0,31,122003.0,Delhi
2458937039,76246.0,38,600058.0,Chennai
3137225265,29800.0,27,160062.0,Chandigarh
3215946936,28308.0,33,560052.0,Bengaluru
2786418621,54740.0,31,400093.0,Mumbai
2792165162,24382.0,30,700054.0,Kolkata
3197034746,123811.0,40,110001.0,Delhi
3209468995,38577.0,32,122002.0,Delhi
2693063515,34714.0,33,122002.0,Delhi
2596531652,51155.0,34,560029.0,Bengaluru
2656040433,86320.0,29,411028.0,Pune
3032370725,23613.0,23,560038.0,Bengaluru
2772935662,35685.0,39,505001.0,Karimnagar
